Forecast_Date,Year,164,171,178,185,192,199,206,Yrday
2002-03-01,2002,1,33,60,6,0,0,0,60
2002-03-15,2002,19,38,41,2,0,0,0,74
2002-04-01,2002,1,34,52,13,0,0,0,91
2002-04-15,2002,1,40,43,16,0,0,0,105
2002-05-01,2002,2,22,67,9,0,0,0,121
2003-03-01,2003,0,0,11,34,49,6,0,60
2003-03-15,2003,0,0,0,1,49,28,22,74
2003-04-01,2003,0,0,0,20,50,21,9,91
2003-04-15,2003,0,0,0,0,21,43,36,105
2003-05-01,2003,0,0,0,1,44,38,17,121
2004-03-01,2004,0,0,0,12,43,32,13,61
2004-03-15,2004,0,0,2,51,42,5,0,75
2004-04-01,2004,0,0,0,6,42,33,19,92
2004-04-15,2004,0,0,0,2,37,47,14,106
2004-05-01,2004,0,0,0,0,3,46,51,122
2005-03-01,2005,0,0,0,3,46,37,14,60
2005-03-15,2005,0,0,0,0,51,34,15,74
2005-04-01,2005,0,0,0,20,54,24,2,91
2005-04-15,2005,0,0,4,69,18,9,0,105
2005-05-01,2005,0,0,17,58,24,1,0,121
2006-03-01,2006,0,0,40,60,0,0,0,60
2006-03-15,2006,0,0,57,43,0,0,0,74
2006-04-01,2006,0,4,76,20,0,0,0,91
2006-04-15,2006,0,9,62,29,0,0,0,105
2006-05-01,2006,0,28,50,22,0,0,0,121
2007-03-01,2007,0,0,16,83,1,0,0,60
2007-03-15,2007,0,6,31,24,38,1,0,74
2007-04-01,2007,0,0,2,96,2,0,0,91
2007-04-15,2007,0,0,0,30,67,3,0,105
2007-05-01,2007,0,0,0,11,69,15,5,121
2008-03-01,2008,0,0,11,85,4,0,0,61
2008-03-15,2008,0,0,6,82,12,0,0,75
2008-04-01,2008,0,0,3,89,8,0,0,92
2008-04-15,2008,0,0,39,60,1,0,0,106
2008-05-01,2008,0,0,53,40,7,0,0,122
2009-03-01,2009,0,0,0,67,33,0,0,60
2009-03-15,2009,0,0,0,25,74,1,0,74
2009-04-01,2009,0,0,0,27,61,12,0,91
2009-04-15,2009,0,0,0,57,41,2,0,105
2009-05-01,2009,0,0,0,42,56,2,0,121
2010-03-01,2010,0,4,61,34,1,0,0,60
2010-03-15,2010,0,21,66,13,0,0,0,74
2010-04-01,2010,1,20,56,23,0,0,0,91
2010-04-15,2010,0,3,56,40,1,0,0,105
2010-05-01,2010,0,39,42,19,0,0,0,121
2011-03-01,2011,0,0,7,86,7,0,0,60
2011-03-15,2011,0,3,34,63,0,0,0,74
2011-04-01,2011,0,0,45,54,1,0,0,91
2011-04-15,2011,0,0,64,36,0,0,0,105
2011-05-01,2011,0,0,55,45,0,0,0,121
2012-03-01,2012,14,50,33,3,0,0,0,61
2012-03-15,2012,38,53,9,0,0,0,0,75
2012-04-01,2012,65,30,5,0,0,0,0,92
2012-04-15,2012,56,36,7,1,0,0,0,106
2012-05-01,2012,49,39,10,2,0,0,0,122
2013-03-01,2013,6,42,45,7,0,0,0,60
2013-03-15,2013,0,26,70,4,0,0,0,74
2013-04-01,2013,0,33,64,3,0,0,0,91
2013-04-15,2013,0,24,62,14,0,0,0,105
2013-05-01,2013,0,40,36,23,1,0,0,121
2014-03-01,2014,0,0,0,55,43,2,0,60
2014-03-15,2014,0,0,8,17,74,1,0,74
2014-04-01,2014,0,0,11,10,59,20,0,91
2014-04-15,2014,0,3,17,41,37,2,0,105
2014-05-01,2014,0,0,34,62,4,0,0,121
2015-03-01,2015,0,0,0,13,34,43,10,60
2015-03-15,2015,0,0,0,17,60,23,0,74
2015-04-01,2015,0,0,0,2,44,48,6,91
2015-04-15,2015,0,0,0,15,48,33,4,105
2015-05-01,2015,0,0,0,4,68,21,7,121
2016-03-01,2016,6,51,40,3,0,0,0,61
2016-03-15,2016,17,58,24,1,0,0,0,75
2016-04-01,2016,7,74,18,1,0,0,0,92
2016-04-15,2016,2,64,32,2,0,0,0,106
2016-05-01,2016,5,55,37,3,0,0,0,122
2017-03-01,2017,5,58,35,2,0,0,0,60
2017-03-15,2017,0,0,25,75,0,0,0,74
2017-04-01,2017,0,0,46,53,1,0,0,91
2017-04-15,2017,0,0,51,47,2,0,0,105
2017-05-01,2017,0,0,33,65,2,0,0,121
2018-03-01,2018,4,64,30,2,0,0,0,60
2018-03-15,2018,43,49,8,0,0,0,0,74
2018-04-01,2018,0,31,66,3,0,0,0,91
2018-04-15,2018,0,11,75,14,0,0,0,105
2018-05-01,2018,0,0,70,30,0,0,0,121
2019-03-01,2019,0,0,7,66,26,1,0,60
2019-03-15,2019,0,0,4,87,9,0,0,74
2019-04-01,2019,0,0,47,53,0,0,0,91
2019-04-15,2019,0,0,79,21,0,0,0,105
2019-05-01,2019,0,0,22,77,1,0,0,121
2020-03-01,2020,1,49,48,2,0,0,0,61
2020-03-15,2020,52,44,4,0,0,0,0,75
2020-04-01,2020,39,58,3,0,0,0,0,92
2020-04-15,2020,35,61,4,0,0,0,0,106
2020-05-01,2020,14,48,37,1,0,0,0,122
