"Year","State","NMFS Name","Pounds","Dollars","Collection","Confidentiality"
"2019","MAINE","LOBSTER, AMERICAN ","100,833,588","485,916,852","Commercial","Public"
"2019","NEW HAMPSHIRE","LOBSTER, AMERICAN ","5,983,075","35,429,762","Commercial","Public"
"2018","MAINE","LOBSTER, AMERICAN ","121,653,778","493,143,397","Commercial","Public"
"2018","NEW HAMPSHIRE","LOBSTER, AMERICAN ","6,082,881","35,106,022","Commercial","Public"
"2017","MAINE","LOBSTER, AMERICAN ","112,170,593","439,305,199","Commercial","Public"
"2017","NEW HAMPSHIRE","LOBSTER, AMERICAN ","5,513,999","31,722,708","Commercial","Public"
"2016","MAINE","LOBSTER, AMERICAN ","132,750,484","541,317,859","Commercial","Public"
"2016","NEW HAMPSHIRE","LOBSTER, AMERICAN ","5,782,056","30,372,394","Commercial","Public"
"2015","MAINE","LOBSTER, AMERICAN ","122,685,803","502,565,024","Commercial","Public"
"2015","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,721,826","24,543,716","Commercial","Public"
"2014","MAINE","LOBSTER, AMERICAN ","124,941,217","461,850,995","Commercial","Public"
"2014","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,374,656","20,750,561","Commercial","Public"
"2013","MAINE","LOBSTER, AMERICAN ","128,015,530","371,077,721","Commercial","Public"
"2013","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,817,707","16,602,039","Commercial","Public"
"2012","MAINE","LOBSTER, AMERICAN ","127,464,332","342,529,179","Commercial","Public"
"2012","NEW HAMPSHIRE","LOBSTER, AMERICAN ","4,229,227","17,169,373","Commercial","Public"
"2011","MAINE","LOBSTER, AMERICAN ","104,957,224","334,702,163","Commercial","Public"
"2011","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,919,195","16,343,427","Commercial","Public"
"2010","MAINE","LOBSTER, AMERICAN ","96,244,299","318,298,693","Commercial","Public"
"2010","NEW HAMPSHIRE","LOBSTER, AMERICAN ","3,648,004","14,836,346","Commercial","Public"
"2009","MAINE","LOBSTER, AMERICAN ","81,124,201","237,374,007","Commercial","Public"
"2009","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,986,981","11,918,662","Commercial","Public"
