Year,Average,Std,Model,Area
1985,35.510262,0.2402502,CMIP5_RCP 8.5_mean,SNE
1986,40.509722,0.9200573,CMIP5_RCP 8.5_mean,SNE
1987,47.217857,2.0963268,CMIP5_RCP 8.5_mean,SNE
1988,55.707325,3.6926682,CMIP5_RCP 8.5_mean,SNE
1989,62.357183,5.5041048,CMIP5_RCP 8.5_mean,SNE
1990,64.527791,6.6342495,CMIP5_RCP 8.5_mean,SNE
1991,61.97673,6.5938257,CMIP5_RCP 8.5_mean,SNE
1992,61.679337,6.5245839,CMIP5_RCP 8.5_mean,SNE
1993,64.95729,6.8496871,CMIP5_RCP 8.5_mean,SNE
1994,73.354892,7.9570709,CMIP5_RCP 8.5_mean,SNE
1995,79.87208,9.0319722,CMIP5_RCP 8.5_mean,SNE
1996,88.360584,9.9520064,CMIP5_RCP 8.5_mean,SNE
1997,98.183321,11.008312,CMIP5_RCP 8.5_mean,SNE
1998,98.622213,11.064752,CMIP5_RCP 8.5_mean,SNE
1999,91.995166,10.7821949,CMIP5_RCP 8.5_mean,SNE
2000,76.154807,8.8085938,CMIP5_RCP 8.5_mean,SNE
2001,65.719603,7.4910772,CMIP5_RCP 8.5_mean,SNE
2002,55.236682,6.1018397,CMIP5_RCP 8.5_mean,SNE
2003,49.112377,5.292884,CMIP5_RCP 8.5_mean,SNE
2004,46.011324,4.8331672,CMIP5_RCP 8.5_mean,SNE
2005,42.916377,4.5125157,CMIP5_RCP 8.5_mean,SNE
2006,37.886556,3.9934806,CMIP5_RCP 8.5_mean,SNE
2007,34.731052,3.7241679,CMIP5_RCP 8.5_mean,SNE
2008,31.416223,3.3106371,CMIP5_RCP 8.5_mean,SNE
2009,28.293508,2.9823167,CMIP5_RCP 8.5_mean,SNE
2010,24.804035,2.6245485,CMIP5_RCP 8.5_mean,SNE
2011,22.506423,2.4028168,CMIP5_RCP 8.5_mean,SNE
2012,21.591908,2.327916,CMIP5_RCP 8.5_mean,SNE
2013,20.432285,2.2149024,CMIP5_RCP 8.5_mean,SNE
2014,19.659455,2.1291097,CMIP5_RCP 8.5_mean,SNE
2015,17.378386,1.8744183,CMIP5_RCP 8.5_mean,SNE
2016,15.83031,1.6906284,CMIP5_RCP 8.5_mean,SNE
2017,16.346942,1.8810474,CMIP5_RCP 8.5_mean,SNE
