Year,Landings,Zone
1999,3726529.00,A
2000,4784287.00,A
2001,6925944.00,A
2002,8679921.00,A
2003,8184828.00,A
2004,10131412.00,A
2005,11320872.00,A
2006,13296867.00,A
2007,11572214.00,A
2008,13598060.00,A
2009,16004495.00,A
2010,19500382.00,A
2011,20095261.00,A
2012,25737312.00,A
2013,28238456.00,A
2014,27520909.00,A
2015,25394500.00,A
2016,28044322.00,A
2017,24613396.00,A
2018,26571856.00,A
2019,24229918.00,A
1999,4780376.00,B
2000,7095754.00,B
2001,4649900.00,B
2002,8071744.00,B
2003,6293001.00,B
2004,4542301.00,B
2005,5535684.00,B
2006,9205720.00,B
2007,7561808.00,B
2008,7901442.00,B
2009,10025158.00,B
2010,12133393.00,B
2011,13390821.00,B
2012,16931382.00,B
2013,18159172.00,B
2014,18012093.00,B
2015,16934228.00,B
2016,18074608.00,B
2017,15985902.00,B
2018,16649643.00,B
2019,14781637.00,B
1999,6977077.00,C
2000,9480101.00,C
2001,9987653.00,C
2002,12358589.00,C
2003,11068232.00,C
2004,13185659.00,C
2005,13520156.00,C
2006,14461529.00,C
2007,13649226.00,C
2008,14732899.00,C
2009,16255040.00,C
2010,22933656.00,C
2011,24092265.00,C
2012,33689288.00,C
2013,33050504.00,C
2014,31365737.00,C
2015,31578925.00,C
2016,33508085.00,C
2017,27679499.00,C
2018,29057137.00,C
2019,21929570.00,C
1999,19051894.00,D
2000,18274087.00,D
2001,13361539.00,D
2002,15699064.00,D
2003,16411546.00,D
2004,23295076.00,D
2005,20547774.00,D
2006,18327984.00,D
2007,14565443.00,D
2008,15830603.00,D
2009,19279908.00,D
2010,20408273.00,D
2011,24989486.00,D
2012,26005778.00,D
2013,24981815.00,D
2014,24733914.00,D
2015,24391573.00,D
2016,24605301.00,D
2017,21197105.00,D
2018,22415844.00,D
2019,19772570.00,D
1999,4483488.00,E
2000,4519281.00,E
2001,4386992.00,E
2002,5187763.00,E
2003,4186146.00,E
2004,6066968.00,E
2005,5711080.00,E
2006,6410085.00,E
2007,5311982.00,E
2008,5688752.00,E
2009,5894717.00,E
2010,6007952.00,E
2011,6168281.00,E
2012,6708414.00,E
2013,6467287.00,E
2014,6173181.00,E
2015,6225322.00,E
2016,7126351.00,E
2017,6066237.00,E
2018,6678526.00,E
2019,5383038.00,E
1999,10405857.00,F
2000,9847241.00,F
2001,6904247.00,F
2002,9985193.00,F
2003,5936417.00,F
2004,9171346.00,F
2005,8282804.00,F
2006,9375459.00,F
2007,7940152.00,F
2008,8796751.00,F
2009,10024892.00,F
2010,11515736.00,F
2011,12368517.00,F
2012,13894776.00,F
2013,12465429.00,F
2014,12089636.00,F
2015,12113743.00,F
2016,14390842.00,F
2017,10954385.00,F
2018,13042738.00,F
2019,10207400.00,F
1999,3449470.00,G
2000,2992092.00,G
2001,2378577.00,G
2002,3643471.00,G
2003,2890298.00,G
2004,5181582.00,G
2005,3811491.00,G
2006,3616527.00,G
2007,2736410.00,G
2008,3249684.00,G
2009,3615669.00,G
2010,3616057.00,G
2011,3715830.00,G
2012,4164931.00,G
2013,4251233.00,G
2014,4407988.00,G
2015,4287037.00,G
2016,4918458.00,G
2017,4133739.00,G
2018,5154426.00,G
2019,4359423.00,G
