Year,Average,Std,Model,Area,Landings_pred,lwr,upr,Landings,Abundance
1985,91.644159,0.61256,CMIP5_RCP 8.5_mean,GoM,24.623036848891132,5.794052779419399,43.45202091836286,21.318881,79
1986,101.272593,1.817921,CMIP5_RCP 8.5_mean,GoM,27.01362853671988,8.219620184608086,45.80763688883168,20.6455,101
1987,108.7046,3.795754,CMIP5_RCP 8.5_mean,GoM,28.858881270246965,10.089640119111706,47.62812242138222,21.00397,74
1988,117.627995,5.641192,CMIP5_RCP 8.5_mean,GoM,31.074422646364056,12.33234014590931,49.8165051468188,22.8577,146
1989,127.152725,8.509216,CMIP5_RCP 8.5_mean,GoM,33.4392662301507,14.723055025309296,52.15547743499211,24.7992,108
1990,133.285613,10.989029,CMIP5_RCP 8.5_mean,GoM,34.96196774892153,16.260704983024176,53.663230514818885,29.726438,123
1991,135.487233,12.868961,CMIP5_RCP 8.5_mean,GoM,35.508596045045024,16.812372044564746,54.2048200455253,32.590681,150
1992,142.329927,14.875569,CMIP5_RCP 8.5_mean,GoM,37.207531448118424,18.52586140883709,55.88920148739976,28.35974,141
1993,153.702972,16.531984,CMIP5_RCP 8.5_mean,GoM,40.03128314463546,21.370090001837443,58.69247628743348,31.619811,126
1994,165.628661,18.055579,CMIP5_RCP 8.5_mean,GoM,42.99224782435708,24.34753284814169,61.63696280057247,40.599618,139
1995,176.957997,18.60113,CMIP5_RCP 8.5_mean,GoM,45.80514725018469,27.171339139410907,64.43895536095847,39.043118,176
1996,191.159926,19.05512,CMIP5_RCP 8.5_mean,GoM,49.331267221359035,30.704585586001016,67.95794885671705,37.716272,193
1997,205.282677,19.480359,CMIP5_RCP 8.5_mean,GoM,52.83772851609036,34.21090472798718,71.46455230419355,48.437404,171
1998,221.287168,19.770055,CMIP5_RCP 8.5_mean,GoM,56.81139683562498,38.175699074025985,75.44709459722398,48.231489,201
1999,237.821889,19.8019,CMIP5_RCP 8.5_mean,GoM,60.91671308779719,42.262139174692955,79.57128700090144,54.874778,187
2000,251.444981,20.151939,CMIP5_RCP 8.5_mean,GoM,64.29911675777367,45.621597886288484,82.97663562925887,58.925152,188
2001,272.509091,20.36203,CMIP5_RCP 8.5_mean,GoM,69.52901045362395,50.80292850274183,88.25509240450609,50.645418,218
