Year,Average,Std,Model,Area
1985,91.644159,0.61256,CMIP5_RCP 8.5_mean,GoM
1986,101.272593,1.817921,CMIP5_RCP 8.5_mean,GoM
1987,108.7046,3.795754,CMIP5_RCP 8.5_mean,GoM
1988,117.627995,5.641192,CMIP5_RCP 8.5_mean,GoM
1989,127.152725,8.509216,CMIP5_RCP 8.5_mean,GoM
1990,133.285613,10.989029,CMIP5_RCP 8.5_mean,GoM
1991,135.487233,12.868961,CMIP5_RCP 8.5_mean,GoM
1992,142.329927,14.875569,CMIP5_RCP 8.5_mean,GoM
1993,153.702972,16.531984,CMIP5_RCP 8.5_mean,GoM
1994,165.628661,18.055579,CMIP5_RCP 8.5_mean,GoM
1995,176.957997,18.60113,CMIP5_RCP 8.5_mean,GoM
1996,191.159926,19.05512,CMIP5_RCP 8.5_mean,GoM
1997,205.282677,19.480359,CMIP5_RCP 8.5_mean,GoM
1998,221.287168,19.770055,CMIP5_RCP 8.5_mean,GoM
1999,237.821889,19.8019,CMIP5_RCP 8.5_mean,GoM
2000,251.444981,20.151939,CMIP5_RCP 8.5_mean,GoM
2001,272.509091,20.36203,CMIP5_RCP 8.5_mean,GoM
2002,297.384568,20.967255,CMIP5_RCP 8.5_mean,GoM
2003,322.264175,21.231739,CMIP5_RCP 8.5_mean,GoM
2004,347.813512,21.369764,CMIP5_RCP 8.5_mean,GoM
2005,371.145776,21.882133,CMIP5_RCP 8.5_mean,GoM
2006,399.263113,22.410106,CMIP5_RCP 8.5_mean,GoM
2007,431.432591,22.758051,CMIP5_RCP 8.5_mean,GoM
2008,466.656991,22.936403,CMIP5_RCP 8.5_mean,GoM
2009,498.339359,23.222368,CMIP5_RCP 8.5_mean,GoM
2010,517.835251,23.223619,CMIP5_RCP 8.5_mean,GoM
2011,531.111272,24.239954,CMIP5_RCP 8.5_mean,GoM
2012,527.41711,24.799104,CMIP5_RCP 8.5_mean,GoM
2013,508.993945,24.988936,CMIP5_RCP 8.5_mean,GoM
2014,499.488883,26.080026,CMIP5_RCP 8.5_mean,GoM
2015,485.716745,26.086117,CMIP5_RCP 8.5_mean,GoM
2016,482.065719,26.777593,CMIP5_RCP 8.5_mean,GoM
2017,481.010774,27.4468,CMIP5_RCP 8.5_mean,GoM
2018,480.647462,28.297426,CMIP5_RCP 8.5_mean,GoM
2019,475.153235,29.751515,CMIP5_RCP 8.5_mean,GoM
2020,469.754314,29.963098,CMIP5_RCP 8.5_mean,GoM
2021,460.217606,31.91305,CMIP5_RCP 8.5_mean,GoM
2022,446.075086,32.040861,CMIP5_RCP 8.5_mean,GoM
2023,432.183586,34.367984,CMIP5_RCP 8.5_mean,GoM
2024,419.733879,34.41371,CMIP5_RCP 8.5_mean,GoM
2025,409.246524,35.603712,CMIP5_RCP 8.5_mean,GoM
2026,400.888865,35.8016,CMIP5_RCP 8.5_mean,GoM
2027,391.4276,36.615693,CMIP5_RCP 8.5_mean,GoM
2028,384.20487,37.443861,CMIP5_RCP 8.5_mean,GoM
2029,375.638551,38.357741,CMIP5_RCP 8.5_mean,GoM
2030,365.474905,39.863992,CMIP5_RCP 8.5_mean,GoM
2031,350.67261,40.384543,CMIP5_RCP 8.5_mean,GoM
2032,340.300354,40.44034,CMIP5_RCP 8.5_mean,GoM
2033,328.706852,41.764914,CMIP5_RCP 8.5_mean,GoM
2034,317.844039,42.261794,CMIP5_RCP 8.5_mean,GoM
2035,312.221202,42.620555,CMIP5_RCP 8.5_mean,GoM
2036,305.16136,43.167923,CMIP5_RCP 8.5_mean,GoM
2037,302.477823,44.372697,CMIP5_RCP 8.5_mean,GoM
2038,299.380033,45.79919,CMIP5_RCP 8.5_mean,GoM
2039,298.310842,45.808937,CMIP5_RCP 8.5_mean,GoM
2040,298.329827,46.402542,CMIP5_RCP 8.5_mean,GoM
2041,296.431669,46.460767,CMIP5_RCP 8.5_mean,GoM
2042,294.781621,48.479398,CMIP5_RCP 8.5_mean,GoM
2043,290.174535,48.872634,CMIP5_RCP 8.5_mean,GoM
