year,month,zone,pounds,molen
2008,1,A,167125,31
2008,2,A,79356,28
2008,3,A,56968,31
2008,4,A,176237,30
2008,5,A,506411,31
2008,6,A,492731,30
2008,7,A,1558626,31
2008,8,A,2491385,31
2008,9,A,2600771,30
2008,10,A,3115415,31
2008,11,A,1938622,30
2008,12,A,414842,31
2009,1,A,129989,31
2009,2,A,53180,28
2009,3,A,43881,31
2009,4,A,152878,30
2009,5,A,468745,31
2009,6,A,549503,30
2009,7,A,1548639,31
2009,8,A,3000599,31
2009,9,A,3342378,30
2009,10,A,3619251,31
2009,11,A,2410147,30
2009,12,A,685305,31
2010,1,A,144894,31
2010,2,A,40929,28
2010,3,A,62373,31
2010,4,A,220351,30
2010,5,A,630899,31
2010,6,A,1112795,30
2010,7,A,3307916,31
2010,8,A,3955897,31
2010,9,A,3584216,30
2010,10,A,4381943,31
2010,11,A,1725376,30
2010,12,A,332794,31
2011,1,A,111502,31
2011,2,A,39886,28
2011,3,A,58304,31
2011,4,A,135363,30
2011,5,A,487751,31
2011,6,A,676960,30
2011,7,A,3391135,31
2011,8,A,5274973,31
2011,9,A,3890725,30
2011,10,A,3677376,31
2011,11,A,1896476,30
2011,12,A,454812,31
2012,1,A,117455,31
2012,2,A,93192,28
2012,3,A,105012,31
2012,4,A,219748,30
2012,5,A,445707,31
2012,6,A,1360418,30
2012,7,A,5323182,31
2012,8,A,5032331,31
2012,9,A,6074643,30
2012,10,A,4283397,31
2012,11,A,2112117,30
2012,12,A,578405,31
2013,1,A,141758,31
2013,2,A,68096,28
2013,3,A,98732,31
2013,4,A,223839,30
2013,5,A,570757,31
2013,6,A,744094,30
2013,7,A,5029374,31
2013,8,A,8232688,31
2013,9,A,5046894,30
2013,10,A,5498534,31
2013,11,A,2062955,30
2013,12,A,520825,31
2014,1,A,137417,31
2014,2,A,89477,28
2014,3,A,100959,31
2014,4,A,231654,30
2014,5,A,677396,31
2014,6,A,926003,30
2014,7,A,2697706,31
2014,8,A,6224435,31
2014,9,A,5445925,30
2014,10,A,7626255,31
2014,11,A,2753097,30
2014,12,A,729198,31
2015,1,A,111894,31
2015,2,A,44111,28
2015,3,A,127561,31
2015,4,A,227607,30
2015,5,A,590473,31
2015,6,A,957809,30
2015,7,A,2250636,31
2015,8,A,5875155,31
2015,9,A,5009327,30
2015,10,A,5413983,31
2015,11,A,3884459,30
2015,12,A,1157090,31
2016,1,A,215689,31
2016,2,A,101783,28
2016,3,A,142025,31
2016,4,A,406359,30
2016,5,A,785609,31
2016,6,A,1635463,30
2016,7,A,4884524,31
2016,8,A,5013623,31
2016,9,A,5330880,30
2016,10,A,5941282,31
2016,11,A,3116561,30
2016,12,A,620520,31
2008,1,B,115450,31
2008,2,B,52131,28
2008,3,B,49454,31
2008,4,B,130160,30
2008,5,B,318016,31
2008,6,B,258088,30
2008,7,B,871970,31
2008,8,B,1843898,31
2008,9,B,1492611,30
2008,10,B,1715065,31
2008,11,B,907393,30
2008,12,B,232467,31
2009,1,B,90950,31
2009,2,B,34500,28
2009,3,B,35598,31
2009,4,B,99541,30
2009,5,B,255366,31
2009,6,B,244424,30
2009,7,B,869376,31
2009,8,B,2325406,31
2009,9,B,2324677,30
