Year,10th,25th,Median,75th,90th,Zone,forecast year,run
1999,,,,,,A,2013,hindcast
2000,,,,,,A,2013,hindcast
2001,,,,,,A,2013,hindcast
2002,,,,,,A,2013,hindcast
2003,,,,,,A,2013,hindcast
2004,,,,,,A,2013,hindcast
2005,,,,,,A,2013,hindcast
2006,,,,,,A,2013,hindcast
2007,,,,,,A,2013,hindcast
2008,,,,,,A,2013,hindcast
2009,,,,,,A,2013,hindcast
2010,17846697.19,18399003.81,18995949.44,19718443.76,20328338.3,A,2013,hindcast
2011,19233809.75,20216061.06,21180025.59,22177072.62,23303387.78,A,2013,hindcast
2012,21638230.33,22962891.88,24686322.65,26176401.81,27571874.01,A,2013,hindcast
2013,24149536.52,26318668.5,28569186.04,30941760.41,33136480.86,A,2013,hindcast
2014,28186951.72,30729730.17,33943487.33,36942991.98,39320509.36,A,2013,forecast
2015,27560490.82,29873528.05,32367168.88,34939618.26,37676362.79,A,2013,forecast
2016,25906950.92,27954870.71,30194220.57,32790929.29,34882841.17,A,2013,forecast
2017,24811012.87,26553178.14,28631298.97,30998596.29,32980429.62,A,2013,forecast
2018,23399485.66,25029325.17,27007389.59,29233141.11,30927218.35,A,2013,forecast
2019,21761560.23,23418399.46,25229661.81,27274197.96,29075698.54,A,2013,forecast
1999,,,,,,B,2013,hindcast
2000,,,,,,B,2013,hindcast
2001,,,,,,B,2013,hindcast
2002,,,,,,B,2013,hindcast
2003,,,,,,B,2013,hindcast
2004,,,,,,B,2013,hindcast
2005,5944618.393,6262258.225,6670906.25,7149813.034,7664023.939,B,2013,hindcast
2006,6313041.479,6673306.256,7134225.841,7595461.864,8066474.274,B,2013,hindcast
2007,6896224.569,7279696.815,7766322.204,8282334.405,8739439.348,B,2013,hindcast
2008,7650200.732,8150835.184,8649547.462,9263256.518,9811361.241,B,2013,hindcast
2009,8684845.138,9322817.409,10068748.58,10826291.43,11607444.95,B,2013,hindcast
2010,9930890.342,10798186.58,11736356.67,12751987.33,13744150.21,B,2013,hindcast
2011,11110148.04,12500814.75,13873463.71,15193174.35,16347644.29,B,2013,hindcast
