Year,Average,Std,Model,Area,Landings_pred,lwr,upr,Landings,Abundance
1985,35.510262,0.2402502,CMIP5_RCP 8.5_mean,SNE,20.822002031158895,14.621381253659099,27.022622808658692,25.4317,43
1986,40.509722,0.9200573,CMIP5_RCP 8.5_mean,SNE,22.2320267671913,16.04173784541994,28.42231568896266,24.9117,39
1987,47.217857,2.0963268,CMIP5_RCP 8.5_mean,SNE,24.12395835233144,17.931542915581062,30.316373789081815,24.713291,43
1988,55.707325,3.6926682,CMIP5_RCP 8.5_mean,SNE,26.518288915183327,20.296971951012647,32.739605879354,26.016402,51
1989,62.357183,5.5041048,CMIP5_RCP 8.5_mean,SNE,28.393784322907955,22.12961901068844,34.657949635127466,27.671651,55
1990,64.527791,6.6342495,CMIP5_RCP 8.5_mean,SNE,29.005972633691485,22.724039171965103,35.28790609541787,32.588387,57
1991,61.97673,6.5938257,CMIP5_RCP 8.5_mean,SNE,28.286483106197004,22.02524178744956,34.54772442494445,31.448617,54
1992,61.679337,6.5245839,CMIP5_RCP 8.5_mean,SNE,28.202607750394,21.94361239211992,34.46160310866808,28.890086,74
1993,64.95729,6.8496871,CMIP5_RCP 8.5_mean,SNE,29.127106558975647,22.84143917590731,35.412773942043984,26.315129,50
1994,73.354892,7.9570709,CMIP5_RCP 8.5_mean,SNE,31.495527657125287,25.12260776403895,37.86844755021162,29.316655,80
1995,79.87208,9.0319722,CMIP5_RCP 8.5_mean,SNE,33.33360542739918,26.874776337274177,39.79243451752418,30.913892,74
1996,88.360584,9.9520064,CMIP5_RCP 8.5_mean,SNE,35.727664108118695,29.13421382736237,42.32111438887502,33.556474,86
1997,98.183321,11.008312,CMIP5_RCP 8.5_mean,SNE,38.498023736066656,31.718599146170025,45.277448325963285,34.090497,79
1998,98.622213,11.064752,CMIP5_RCP 8.5_mean,SNE,38.62180681992906,31.83335477390179,45.41025886595634,31.229206,76
1999,91.995166,10.7821949,CMIP5_RCP 8.5_mean,SNE,36.7527449218742,30.09413476406033,43.41135507968808,33.668901,66
2000,76.154807,8.8085938,CMIP5_RCP 8.5_mean,SNE,32.28520282380092,25.877281790116804,38.69312385748504,27.878608,56
2001,65.719603,7.4910772,CMIP5_RCP 8.5_mean,SNE,29.342105816215245,23.049634487069437,35.63457714536105,20.547366,40
2002,55.236682,6.1018397,CMIP5_RCP 8.5_mean,SNE,26.385550925112305,20.166598048702188,32.604503801522426,19.460459,36
2003,49.112377,5.292884,CMIP5_RCP 8.5_mean,SNE,24.658280071658744,18.461945908522427,30.85461423479506,16.687081,35
2004,46.011324,4.8331672,CMIP5_RCP 8.5_mean,SNE,23.783673326580782,17.59299252024188,29.974354132919686,16.748811,34
2005,42.916377,4.5125157,CMIP5_RCP 8.5_mean,SNE,22.91078868969814,16.721846078384893,29.09973130101139,16.703372,28
2006,37.886556,3.9934806,CMIP5_RCP 8.5_mean,SNE,21.492201076672888,15.297758039561156,27.68664411378462,18.357787,39
2007,34.731052,3.7241679,CMIP5_RCP 8.5_mean,SNE,20.602237221646707,14.399092089117019,26.805382354176395,14.160418,27
2008,31.416223,3.3106371,CMIP5_RCP 8.5_mean,SNE,19.667338075395403,13.450711627506497,25.88396452328431,14.832256,28
2009,28.293508,2.9823167,CMIP5_RCP 8.5_mean,SNE,18.786621879330344,12.553253272845557,25.01999048581513,15.775903,26
2010,24.804035,2.6245485,CMIP5_RCP 8.5_mean,SNE,17.802466941453613,11.54578998026611,24.059143902641118,17.648851,21
2011,22.506423,2.4028168,CMIP5_RCP 8.5_mean,SNE,17.15445900583559,10.87980890914504,23.42910910252614,17.380503,16
2012,21.591908,2.327916,CMIP5_RCP 8.5_mean,SNE,16.896533395575148,10.614154019838868,23.178912771311428,18.910377,13
2013,20.432285,2.2149024,CMIP5_RCP 8.5_mean,SNE,16.56947865076829,10.276829948799158,22.86212735273742,18.598593,11
2014,19.659455,2.1291097,CMIP5_RCP 8.5_mean,SNE,16.351513227152957,10.051730830731131,22.651295623574782,18.602347,NA
2015,17.378386,1.8744183,CMIP5_RCP 8.5_mean,SNE,15.708171003273437,9.38599002293298,22.030351983613894,19.563695,NA
2016,15.83031,1.6906284,CMIP5_RCP 8.5_mean,SNE,15.271558758499381,8.93304215876159,21.610075358237175,20.868328,NA
2017,16.346942,1.8810474,CMIP5_RCP 8.5_mean,SNE,15.417267274904331,9.084303723544249,21.750230826264414,19.213662,NA
2018,17.880935,2.2675676,CMIP5_RCP 8.5_mean,SNE,15.849907615041177,9.532832961085989,22.166982268996364,20.170584,NA
2019,20.770595,2.9409035,CMIP5_RCP 8.5_mean,SNE,16.664894049320758,10.375295320835049,22.954492777806465,18.981764,NA
2020,24.4659,3.6324232,CMIP5_RCP 8.5_mean,SNE,17.707100899097377,11.44790913675514,23.966292661439613,NA,NA
2021,28.287559,4.295425,CMIP5_RCP 8.5_mean,SNE,18.78494405069392,12.551539826107032,25.018348275280808,NA,NA
2022,29.771657,4.4801841,CMIP5_RCP 8.5_mean,SNE,19.20351223419698,12.97855549165803,25.428468976735935,NA,NA
2023,29.14219,4.271677,CMIP5_RCP 8.5_mean,SNE,19.02598025263975,12.797548121940572,25.25441238333893,NA,NA
2024,28.558922,4.0435027,CMIP5_RCP 8.5_mean,SNE,18.86147802485192,12.629684146531796,25.093271903172045,NA,NA
2025,28.384585,3.8353459,CMIP5_RCP 8.5_mean,SNE,18.812308818096454,12.579483748869176,25.045133887323733,NA,NA
2026,29.097066,3.8800627,CMIP5_RCP 8.5_mean,SNE,19.01325368693291,12.784566330032547,25.241941043833272,NA,NA
2027,30.407067,4.0979209,CMIP5_RCP 8.5_mean,SNE,19.382720352178193,13.161110847233482,25.604329857122906,NA,NA
2028,31.233547,4.130471,CMIP5_RCP 8.5_mean,SNE,19.61581697538071,13.398318832000069,25.83331511876135,NA,NA
2029,31.267348,3.988807,CMIP5_RCP 8.5_mean,SNE,19.625350054173744,13.408014214405064,25.842685893942424,NA,NA
2030,30.509823,3.7439499,CMIP5_RCP 8.5_mean,SNE,19.411701182463013,13.19061777088322,25.632784594042803,NA,NA
2031,28.950906,3.4094408,CMIP5_RCP 8.5_mean,SNE,18.97203139184134,12.742511749555439,25.20155103412724,NA,NA
2032,28.274436,3.2378314,CMIP5_RCP 8.5_mean,SNE,18.78124290004746,12.54776005496404,25.014725745130878,NA,NA
2033,27.675334,3.1138239,CMIP5_RCP 8.5_mean,SNE,18.61227492362471,12.375129716133447,24.849420131115973,NA,NA
2034,26.87378,3.0204695,CMIP5_RCP 8.5_mean,SNE,18.386208314977832,12.143939653597771,24.628476976357895,NA,NA
2035,26.680028,2.9745366,CMIP5_RCP 8.5_mean,SNE,18.33156339079487,12.08801796083662,24.57510882075312,NA,NA
2036,26.920063,3.0266438,CMIP5_RCP 8.5_mean,SNE,18.39926175972142,12.157295883526483,24.641227635916355,NA,NA
2037,26.880074,3.0094576,CMIP5_RCP 8.5_mean,SNE,18.387983445829683,12.145756010033827,24.630210881625537,NA,NA
2038,26.435249,2.9442859,CMIP5_RCP 8.5_mean,SNE,18.262527045897365,12.017347289081053,24.507706802713678,NA,NA
2039,25.651456,2.7962007,CMIP5_RCP 8.5_mean,SNE,18.041469668114757,11.790896924942277,24.292042411287238,NA,NA
2040,25.263703,2.6384987,CMIP5_RCP 8.5_mean,SNE,17.932109592932484,11.678778962584442,24.185440223280526,NA,NA
2041,25.45418,2.6309644,CMIP5_RCP 8.5_mean,SNE,17.98583085115742,11.733862414025753,24.23779928828909,NA,NA
2042,25.402891,2.6247633,CMIP5_RCP 8.5_mean,SNE,17.971365537166236,11.719031718447214,24.22369935588526,NA,NA
2043,25.359193,2.6036049,CMIP5_RCP 8.5_mean,SNE,17.95904115394982,11.706395211323692,24.211687096575947,NA,NA
2044,25.001052,2.6120527,CMIP5_RCP 8.5_mean,SNE,17.85803271124053,11.60280022595917,24.113265196521887,NA,NA
2045,25.144381,2.6335872,CMIP5_RCP 8.5_mean,SNE,17.898456564094797,11.64426530081746,24.152647827372135,NA,NA
2046,25.671819,2.6987167,CMIP5_RCP 8.5_mean,SNE,18.047212755108117,11.79678320015148,24.297642310064752,NA,NA
2047,25.167111,2.6287391,CMIP5_RCP 8.5_mean,SNE,17.9048672288966,11.650840343768138,24.15889411402506,NA,NA
2048,24.515143,2.4762066,CMIP5_RCP 8.5_mean,SNE,17.720989168645776,11.462166443645817,23.979811893645735,NA,NA
2049,23.658371,2.328493,CMIP5_RCP 8.5_mean,SNE,17.479349128893492,11.213969398708855,23.74472885907813,NA,NA
2050,22.228222,2.1202995,CMIP5_RCP 8.5_mean,SNE,17.075996473564317,10.799029645782099,23.352963301346534,NA,NA
1985,35.520631,0.232815,CMIP5_RCP_8.5_5th,SNE,20.824926456294396,14.62433761215653,27.02551530043226,25.4317,43
1986,40.531449,0.9147171,CMIP5_RCP_8.5_5th,SNE,22.238154550479848,16.047888339349655,28.42842076161004,24.9117,39
1987,47.234453,2.2342551,CMIP5_RCP_8.5_5th,SNE,24.128639011946515,17.936195584125514,30.321082439767515,24.713291,43
1988,55.771051,3.7920074,CMIP5_RCP_8.5_5th,SNE,26.536261903531752,20.314618002968388,32.75790580409512,26.016402,51
1989,62.442054,5.5421507,CMIP5_RCP_8.5_5th,SNE,28.417720949938037,22.152895592207294,34.68254630766878,27.671651,55
1990,64.693153,6.5538944,CMIP5_RCP_8.5_5th,SNE,29.052610572668847,22.76924801351077,35.335973131826925,32.588387,57
1991,62.223512,6.4430745,CMIP5_RCP_8.5_5th,SNE,28.35608436801479,22.092952879348463,34.61921585668112,31.448617,54
1992,61.954533,6.3108692,CMIP5_RCP_8.5_5th,SNE,28.28022276626715,22.019150285582374,34.541295246951925,28.890086,74
1993,65.204523,6.6965376,CMIP5_RCP_8.5_5th,SNE,29.19683501876201,22.908985719762963,35.48468431776105,26.315129,50
1994,73.504276,7.8658935,CMIP5_RCP_8.5_5th,SNE,31.537659234369123,25.16294540898843,37.91237305974981,29.316655,80
1995,79.7849,8.8927031,CMIP5_RCP_8.5_5th,SNE,33.30901758061427,26.851439635588548,39.766595525639985,30.913892,74
1996,88.188597,9.7954298,CMIP5_RCP_8.5_5th,SNE,35.67915768456975,29.08868141749879,42.269633951640714,33.556474,86
1997,98.025525,10.9086583,CMIP5_RCP_8.5_5th,SNE,38.453519676978885,31.677326166504667,45.2297131874531,34.090497,79
1998,98.668662,11.0842222,CMIP5_RCP_8.5_5th,SNE,38.634907082550214,31.845496153574718,45.42431801152571,31.229206,76
1999,92.352528,11.0700502,CMIP5_RCP_8.5_5th,SNE,36.85353365900142,30.18828124972795,43.51878606827489,33.668901,66
2000,76.656137,9.0192778,CMIP5_RCP_8.5_5th,SNE,32.42659563440749,26.01210231709794,38.84108895171704,27.878608,56
2001,66.245058,7.541044,CMIP5_RCP_8.5_5th,SNE,29.490302731016428,23.193010260943247,35.78759520108961,20.547366,40
2002,55.650992,6.1578921,CMIP5_RCP_8.5_5th,SNE,26.502401014599087,20.2813717012999,32.72343032789827,19.460459,36
